sentiment,long_comment
0,the truck driver was very professional and helpful.
0,i have never been disappointed with ups.
0,"from start to finish, a job well done.  i'll do more online ordering when necessary.  "
0,god
0,thank-you
0,"ask questions once i get my product, im not giving out a fair rate until my order arrives. thank you"
0,"being 80 years old, please that all delivery items be to carport.  thank you. "
0,"none, thanks"
0,as. an 80 year old that orders weekly please make sure all my orders delivered  under carport.  thanks.
0,"very pleased. signed up for text updates, and when there was a delay due to weather, i was notified well in advance."
0,no comments
0,"hope the arrival date is correct!  that would rate another 5-stars for ""delivery experience""."
0,i would l9ve you if my delivery would come before friday.
0,ups is on time with all of my packages. fdexs delivers in the late pm.
0,was the 10th now it the 12th
0,terrific
0,not bad....not bad at all.
0,seamless transaction..
0,"not much to say, good job."
0,delivered item in 4 days and not the 14 that house store had projected.
0,driver was courteous and helpful
0,timed perfectly. the driver was very professional.
0,na
0,a+
0,outstanding service
0,"wish usps was half as efficient.
no complaints, here."
0,"tracking number
1z44w7550351150734
please send e-mail notification to 
dougbirk2@gmail.com
when my order is ready to be picked up at the store. thank you."
0,great all around. rated 10 out of 10.
0,x
0,😉😉😉😉😉😉😉😉
0,"i appreciate the care the driver took in delivering the heavy, extra large packages. we were not house when delivery was made. boxes were placed in a convenient location and positioned so they would be easier to move and handle. thank you to that driver. "
0,my unit number is 210. this was on the order. please let ups know.
0,i like the text message status reports. package arrived sooner than expected.
0,couldn't be any easier
0,this system is just great and allows me to plan for deliveries. ups rocks!
0,great status updates and communication
0,a+
0,satisfied with the shipment details.
0,use ups quite  frequently. ...always  satisfied. ....
0,fast delivery!  i wasn't expecting to receive this package until next week.
0,muy bien rápido
0,can i be contacted on actual date? weather will be rainy and i want to have someone at the house to open the garage.
0,"has all the info i need to keep track of my packages, highly recommended!"
0,i ordered this to be sent to surprise house store
1,this delivery experience was a joke!
1,"our delivery date has changed 4 times so far. very very frustrating when you need the product you ordered. i could have bought in store at lowes but have always been a loyal house store customer, but i wont do this again:("
1,you people are a bunch of fuck up's
1,why can't you just deliver packages like any other store. why do i have to set up a delivery time and deal with rude people on the phone and be here to sign.
1,shipper lost my lawn tractor.
1,you lost our rug.
1,the date for this delivery keeps changing to further out.
1,i was told when i ordered this item. it could be put in an old one could be taken out. i ended up doing it by myself to find that the freezer and refrigerator door do not stick clothes. i was also speaking to someone online about this refrigerator being a normal regular standard size i'm not too good with measurements. the person online told me the size i got was standard and it is very small does not have a meat department in the refrigeratoi don't know how to have this returns and this fixed.
1,there has not been a status update on my order in two days and the delivery range is four days long it needs to be more precise and i need to be kept in the loop more about where my package is and an estimated delivery date and time very poor customer service
1,"order placed on feb 14 and was supposed to be delivered feb 26 - mar 2. it arrived at the delivery terminal on feb 25 and sat there. the carrier committed to a mar 3 delivery and i received notification it was on truck for delivery that morning. however package never arrived so i called the facility and they said the truck had issues and it would be delivered that day, march 4. package didn't arrive so i called on march 5  and was told a truck was down and wouldn't get package until march 7th. "
1,"i have still not received my order. apparently you had the wrong delivery address, which i corrected last week. i have received no information, no phone call, nor any email about delivery failures. please confirm this message and my expected delivery date."
1,"product was damage on deliver ,.not happy at all at this moment ,really sucks"
1,delivered on 02-26-2015 is wrong i got call this morning that items finally came in lat fri. or sat.
1,constantly changing delivery dates. unreliable shipper. waited on hold forever. package sat in milwaukee friday and i was told it wasnt ready for shipping monday morning. as a logistics scheduler myself i find this ridiculous. i now have to wait until wednesday the 11th to pick up a tub that was supposed to deliver on march 3rd. never again will i order from house store and have it shipped to the store. extremely dissapointed.
1,shipment delayed for over a week from original estimate.  not here yet and no reason given.
0,"so far, so good!"
1,you are not honoring your dates
1,when i ordered i was told shipment between 3/6 and 3/9.  now on 3/9 told delivery now 3/17 and 3/18!!!
1,i tracked the shipment no problem there. the problem is with house store not being able to find my item for me!!! took an hour of waiting. and it had just arrived an hour or 2 before i went to pick it up.
1,not happy. not on schedule whatsoever.
0,so simple   thank you
1,"ups has delivered all of our house store orders to the wrong address package after package! thus, we have to go and pick them up!"
1,4 days no update
1,still no tracking info......
1,"heater has not shipped, exception notice not issued. costing $40~50/day to heat to 50 f. delivery now not till 18th. the $2,000 + this is now costing me for a $300 heater is a bit out of bounds. any immediate action, monetary or else wise will be greatly appreciated."
1,"why not sooner??
"
1,"as of mar/8, tracking details showed nothing after mar 4 . where is the merchandise?"
0,great
1,could be faster shipping
0,good job.
0,"simple, fact package tracking. anxiously awaiting delivery. 
thank you."
1,your carriers need to improve their tracking they at times take up to five days to update their tracking info
1,didn't get it
1,"mechanical failure?? i've had floor man here waiting and getting paid. first delivery was set for the 6th, then today the 9th, and now ups site doesn't have a date."
1,very dedicated driver
0,the shipping estimate when i ordered was very conservative.  i'm very happy this order is arriving earlier than expected.
1,how did the package just ship 5 days after i placed the order?
0,"very satisfied, will keep shopping. thanks house store"
1,the order was delivered before the tracking information was updated past shipping label created.
0,excellent!
1,when i placed the order on the line it said the approxitmate delivery date was 3/10-3/11. now it was not shipped until 3/9 amd estimated delivery is 3/16. my tile installer is scheduled for 3/13. this is the same reason i closed my house store credit card. terriable service.
1,my shipment has been sitting in little rock arkansas for days now and it should have been delivered to bull shoals arkansas days ago.
1,"delivery date march 6th, this is the 9th.via phone ups says i have no package to be shipped. 
"
0,"was easy to order , nick was very helpful. "
1,"no one called or emailed.
sloppy"
1,ridiculously slow even though this was paid for expedited shipping.
0,great job
1,wrong part.
1,"a couple of things:  1. my custom vanity top arrived broken!  now i  have to start again and reorder one.  3-4 weeks waiting with a vanity cabinet without top... 
2. the color finish is completely different from what i ordered: light coco,  #38050.  the top looks horrible displaying messy dark brown/purple brush stokes. i'm extremely disappointed. 
more, st paul cust service blames the mexican factory and cannot guaranty a finish that is even close  to what hd sales as light coco vanity top.  "
0,perfection!
0,it is a pleasure to deal with house store. you make everything very convenient.
0,thanks
1,no delivery date
1,just provide a link to ups.com. its an extra step going to your third party website...
1,"no llamaron a mi puerta, colocaron un aviso diciendo que yo no estaba, lo cual es falso pues aqui estaba esperando la entrega. ellos no me tocaron la puerta."
0,just received!    thank you!   very nice driver!!!
1,horrible!! suppose to be here on march 4 and has shown to be in sweetwater since march 2. now march 9 and i still don't have it. very unsatisfied
1,took forever to come. items i ordered from other website after i ordered this vanity already came. house store should use a more efficient transporter. this is a disgrace. today is tenth and nothing came yet.
1,"absolutely horrible experience so far and my product still hasn't delivered. seko has told me multiple times that i should be receiving a call from the white glove delivery company any minute now. that happened on 3/6 and again on 3/9. the tracking shows zero updates since 2/25, only that my product should deliver between 3/3-3/5. turn out that my product has been sitting at seko in el paso since 3/2 and has yet to be delivered to the white glove delivery company."
1,my order has been sitting in the delivery terminal for four days.  unacceptable!!!
1,"package looks damaged, driver would not bring into house, no phone or text regarding delivery"
1,no call as to when the delivery was to be made and the vanities were left in the rain when i was not house. one of the vanities had chips in it and can be seen on the damaged box that had a hole in it. i have to return one of the vanities.
0,great job! wish everything was this simple!
1,shipment not received as expected. status hasn't updated in 4 days.
1,"this shipment was to be in store 3/9-3/10
please advise as to why this has been delayed an additional  8-9 days"
1,"estes freight is a piece of shit company ! upon opening the carton, dishwasher was completely dented in and destroyed. thanks alot for nothing assholes !!!!"
0,"over all a good experience. product arrive in good condition. estes driver was very nice and helpful. thanks, jack welch"
1,"our order of rock showed up broken.  don't like this site for tracking.  didn't give specific date, just a date range.  awful experience."
1,ok.  the reason i'm giving so low rating is cuz my package got to my town when it was supposed to. but is still sitting in  a wearhouse.  now the shipment date has changed to 8 more days and it's like 5 miles from my house.  i don't understand  this.
1,"well fuck, guess i can just change my mind about payment too.  maybe i will pay today or maybe it will be 9weeks from now.  brilliant-"
1,it was not delivered!
1,the shipment traveled from mesquite to fort worth back to mesquite and then wasn't delivered on march 9 the original date. it has been out for delivery for 8 hrs now and still hasn't arrived.
1,driver did not ask for signature . just left my package out side my door.
1,i really would like to know a true status of where is my package.
0,process was wonderful but the tile was much darker in person verses the color palette online. can't use and will return.
1,i received your text hours after the package was delivered. never received a text that it was out for delivery. that system is awful.
1,"you told me mar 16 - 18 and i planned around that.... i would have donr it differently with this delivery date.... early can be as bad as late... 

rich pytelewski"
0,see previous
1,"i haven't received my package yet there's no way to be found,  where is it "
1,shipment arrived badly packaged and open. called customer service for for shipment pickup will have to re order item.
0,good service
1,required a signature for polyurethane- ridiculous waste of my time to stay house and wait to sign.
1,"first was given 3/6/15 as delivery date, late the night before date was changed to 3/9/15. i had arranged for use of my item on 3/7 (weekend)- then item didn't come til monday-  : love that it was purple- tracking notifications didn't work until after it was delivered. and parts not put together & no oil included..."
1,12 days from order date to pickup date is a little ridiculous!
1,package was late supposedly due to weather but was sitting in dalas all day friday which was a nice day with no road hazards it should have been delivered on the 6th as promised
1,today is the 9th my package says to already be delivered but gives the 10th as the delivery date. doesn't make sense to me.
0,love the free online shipping
1,"received 2 pkgs y'day on the 09th.  the 8×1 screws & the (2) 10pc electrical outlets.  now, i can let some of me work begin"
0,shipping was fast!
0,"great service, thanks!"
1,customers rely on prompt shipment of products for house improvement projects that are planned around tight schedules. there is usually only 2 or 3 days of leeway time. late arrival of packages becomes a nightmare for the customer and their contractors...
0,thank you for excellent service
0,"nice job, really seamless transaction."
1,i suppose to recieve my wine fridge on march 17. it is 7 days earlier. cool
1,my partial shipment was to be here today! it appears that it is misplaced in the warehouse! please find my package!
0,great
0,great customer service thus far!
1,delivery is surprisingly slow.
0,i love how accurate and precise the details as well as the shipping process are made by ups.
0,"good job, well done!"
0,this is great!
0,a pleasure!!!😄
0,love the ease of use and the ability to get text updates
1,my simple order was split into 5 different shipments with 5 different delivery dates and 5 different charges to my credit card. i can't tell what's due or when.
1,"according to the tracker, it still hasn't shipped yet i have received it."
1,second time ordered. second time damaged.
1,no tracking information available at all for this package.
1,it takes too long for you to get the items to the delivery firm
1,since the expected delivery date wasn't until march 19 & it was delivered today march 10 i definitely have no complaints!!  a very nice pleasant surprise!
1,"expect delivery by mar 9, but no sign of item. ups can't give me the location of the package. it is a bad sign."
0,"i was always informed where my order was at.  it was very easy to find.
thanks"
1,"the package arrived badly damaged, and i had to refuse delivery. the item has already been re-ordered, and i am very happy with the way the problem was handled. thanks!"
1,still have not received packages.
1,2/10/15 have not been able to locate my order. tried ups tracking # no luck  please help..am starting to worry.. smokeyroe@charter.net
0,"""under promise and over deliver"" would be a good motto for you to consider. 

i received several notices that the package was in transit and the delivery date was well ahead of schedule. however, the package has been delayed for conflicting excuses.

rather than raising expectations and then falling short, a customer would appreciate your honesty and then be pleasantly surprised with such speedy results. over promising sets up all involved for less than wonderful experience...
"
1,"first it was supposed to be delivered on 6 march, then it went to 9 march and now it says 10 march.  so when will it really be delivered the date keeps changing!"
1,yesterday i spoke to two different people trying to find out why my package wasn't delivered and they couldn't give me an answer. this is very disturbing as i had sent and elderly woman who had no heat a heater and no one could tell me when it would be delivered or why it was sitting in little rock for 3 days.
0,i will not be picking this order up because i found another digging bar that is better for my job.  thank you
1,"package delivered a day late, received delivery notification 5 hours after item was delivered, one box was open and item damaged. "
1,my simple order was split into 5 different shipments with 5 different delivery dates and 5 different charges to my credit card. i can't tell what's due or when.
1,delivery was 3 days late.
1,why did it take so long?
1,auwful you can not get your infomation in without adding things on to it.
0,system very easy to navigate.  thanks
1,my simple order was split into 5 different shipments with 5 different delivery dates and 5 different charges to my credit card. i can't tell what's due or when.
1,"shipped it to the wrong store, no communication, very annoyed as i need the tubing asap. would give 0 stars if i could...... did not get a tracking update until today."
1,my worst experience ordering online.
1,"were was it delivered to? i did not recieve it. found out it was delevered to the office, it said."
1,the delivery guy just loudly dropped my 70+ lb package onto an item that was sitting on the the porch breaking it and just missing a glass end table. hopefully my merchandise isn't damaged.  very poor customer service.
1,damaged again
1,i haven't received package but showing to be delivered
1,ups is the worst!   i will never buy from a business in the future that uses ups for shipping.   1/2 day of bad weather causes them to miss shipping date by 5 days.  bottom line - ups sucks!
0,perfect execution
1,the package was so mishandled that when it arrived was thrown against the door so hard that the drill case got broken and the drill started to make weird noises inside the case. i had to return it and order a new one. very bad service from ups.
0,it was all good!
0,even with the february freeze in nashville you got it to me on time as promised jit for my granite countertop installation. thanks house store.
0,ty!
1,ups needs to update more often.
0,thank you for the expedited service!!
0,thank you for delivering my drill safely !!!!
1,you are promising that my package will be delivered on thursday (it is tuesday) but according to the tracking number my package has not moved in 4 days and is still on the other side of the country. please update your system.
0,perfection!
0,excellent job1
1,unfortunately the contents of our package were damaged so we need to return the shipment and re-order it.
1,my simple order was split into 5 different shipments with 5 different delivery dates and 5 different charges to my credit card. i can't tell what's due or when.
0,received thanks
1,my simple order was split into 5 different shipments with 5 different delivery dates and 5 different charges to my credit card. i can't tell what's due or when.
